교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
충주시특별교통수단이동지원센터,충청북도 충주시 목행산단2로 18,충청북도 충주시 금릉동 206-55,37.00169614,127.9180329,21,스타렉스+카니발+대형버스,21,0,043-857-6161,해당없음,해당없음,8:00,21:30,8:00,21:30,7:30,22:00,7:30,22:00,1일,해당없음,충주시 전지역,청주(충북대병원)+원주(세브란스병원)+서울(3차병원),정도가심한장애인 중 보행상 장애가 있는 자+65세이상 버스이용 어려운자+국가유공 상이1~2급,"5㎞ 1,000원+1㎞당 200원 추가",충청북도 충주시,043-850-6821,2021.9.30,4390000,충청북도 충주시
논산시교통약자이동지원센터,충청남도 논산시 해월로87번길 18,충청남도 논산시 부창동 274-139,36.2003202,127.078218,10,카니발,10,0,1644-5588,없음,없음,0:00,0:00,0:00,0:00,7:00,21:00,9:00,18:00,2일,,논산시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 논산시지부,1600-6335,2021.9.30,4540000,충청남도 논산시
금산군 교통약자 이동지원센터,충청남도 금산군 금산읍 인삼로232,,36.10193212,127.5067566,3,카니발,3,0,1644-5588,없음,없음,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,1일전,,금산군 전체지역,대전+논산+무주+옥천,중증장애1~3급하지장애인+노인장기요양1~3급+만65세이상노약자(진단서첨부)+상해및질병으로인한보행일시장애인+보호자2인,"관내지역기본요금 2km 1,300원 외 1km당 130원 추가 최대2,600원+관외지역 1km당 260원",금산군,041-750-2732,2021.10.17,4550000,충청남도 금산군
청양군교통약자이동지원센터,충청남도 청양군 청양읍 칠갑산로 87,충청남도 청양군 청양읍 송방리 293-1,36.44939025,126.786522,3,카니발+스타렉스,0,3,041-942-2111,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,없음,청양군 전지역,충청남도 전지역,1.장애인복지법시행규칙에 따라 등록된 1급 또는 2급 장애인으로서버스 등의 이용이 어려운 사람+2. 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람+3. 일시적으로 휠체어를 이용하는 사람이나 임산부로서 대중교통수단의 이용이 어려운 사람+4. 제1호에서 제3호까지에 해당하는 교통약자를 동반하는  가족 및 보호자,"관내 기본요금 2km까지 1,000원, 추가요금 km당 130원+관외 km당 260원+대기료 30분당 2000원",청양군청,041-940-2423,2021.10.14,4590000,충청남도 청양군
이지콜센터,전라북도 전주시 덕진구 기린대로 451,전라북도 전주시 덕진구 덕진동1가 1220-1,35.84075454,127.127127,55,카니발+스타렉스,53,2,063-227-0002,http://www.0632270002.com,즉시콜/예약콜,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,7일,"이용신청 없이 운전원과 직접 연락하여 차량을 이용한 경우,이용객과 동반할 목적이 아닌 비장애인을 동승시키는 경우 1주일,  이용객과 동반할 목적이 아닌 비장애인을 동승시키는 경우 (기간에 관계없이 2회 적발시) 1년",전주시내,전라북도내 및 전국,장애의 정도가 심한 장애인 중 대중교통 이용이 어려운자(보행상 장애인)+65세 이상으로 대중교통 이용이 어려운 자(진단서제출)+일시적사용자(진단서제출)+임산부(진단서제출)+타지역 거주자(심한장애인) 또는 일시적 방문자(사전신청접수시)+교통약자동반가족 및 보호자,"기본 2㎞ 700원 1㎞당100원+전국 2㎞ 700원(전주시내) 700m당100원(대기료, 통행료, 주차료 등 본인부담)",전라북도 전주시청 시민교통과,063-281-2542,2021.10.12,4640000,전라북도 전주시
대구시달서구장애인이동지원센터,대구광역시 달서구 월성로 77,대구광역시 달서구 월성동 86,35.83004237,128.528337,1,스타렉스,1,0,053-641-0641,해당없음,,9:00,18:00,0:00,0:00,9:00,18:00,9:00,18:00,7일,,대구광역시 전지역,,대구시 달서구내 등록장애인,무료,대구광역시 달서구청,053-667-2566,2021.10.6,3470000,대구광역시 달서구
(사)지체장애인협회 의령군지회,경상남도 의령군 의령읍 의병로8길 44 종합사회복지관 1층,경상남도 의령군 의령읍 서동리 543 종합사회복지관 1층,35.315489,128.255951,4,카니발,4,0,1566-4488,www.15664488.co.kr,,21:00,0:00,21:00,0:00,7:00,22:00,9:00,18:00,1일,,의령군 관내 전체,경상남도 관내 전체,보행상 중증장애인+노약자+임산부+일시적 휠체어 이용자,"관내 2,500원+관외 시외버스 요금의 1.5배",경상남도 의령군청,055-570-3133,2021.10.8,5390000,경상남도 의령군
경주시교통약자이동지원센터,경주시 탈해로 57번길14(동천동),경주시 동천동 876-1,35.851772,129.228791,19,"카니발 17대, 스타렉스 2대",19,0,054-777-2811,054-777-2811,054-777-2811,8:00,18:00,9:00,18:00,8:00,22:00,9:00,18:00,7일 이내,"이용자 본인이 아니거사 증빙자료가 사실과 다를경우, 보호 장구를 설치함에도 불구하고 이동 시 안전상 문제가 발생할 소지가 높은 경우 등",경주시 전역,경상북도 및 대구광역시,"「장애인복지법 시행규칙」 제2조제1항에 따른 장애의 정도가 심한 장애인으로 대중교통의 이용이 어려운 사람, 65세 이상 고령자로 버스 등의 이용이 어려운 사람, 사고, 질병 등 일시적 장애로 휠체어를 이용하는 사람으로서 대중교통의 이용이 어려운 사람, 규정에 해당하는 교통약자를 동반한 가족 및 보호자, 그 밖에 특별교통수단 이용이 필요하다고 인정되는 사람","기본(4km) 1200, 초과 1km 당 180원","경주시, 경주시장애인단체협의회",054-777-2811,2021.10.12,5050000,경상북도 경주시
광주희망콜,경기도 광주시 청석로256,경기도 광주시 쌍령동 48-45,37.40998092,127.2653231,24,카니발+스타렉스,19,5,1666-6636,http://www.gjhpcall.or.kr,광주시 교통약자,7:00,19:00,8:00,19:00,7:00,22:00,8:00,21:00,"1.2급장애인, 휠체어 2일전 + 기타 1일전","이용자 준수사항 월 3회위반시 30일 이용정지 + 관외지역 병원, 치료목적외 불가",광주시 전지역,서울 + 경기,"1.2급 장애인 + 휠체어 이용자 + 65세이상 노인, 임산부 등 대중교통이 어려운 사람","10km이내 1,200원 + 추가 5km당 100원 + 대기료 1시간 1,000원 + 기타(통행료,주차비 등)",경기도 광주시청,031-760-2120,2021.9.13,5540000,경기도 광주시
산청군 교통약자 콜택시,경상남도 산청군 산청읍 웅석봉로133번길 178,경상남도 산청군 산청읍 지리 132,35.413607,127.886574,7,카니발+스타렉스,7,0,1566-4488,해당없음,,21:00,23:59,21:00,23:59,6:00,23:00,9:00,18:00,해당없음,회원으로 등록되지 않은자는 이용이 어려움,산청군 전체,경상남도 내,1. 「장애인복지법 시행규칙」 제28조제1항에 따른 보행상의 장애인으로서 장애의 정도가 심해 버스ㆍ지하철 등의 이용이 어려운 사람+2. 65세 이상의 사람으로서 버스ㆍ지하철 등의 이용이 어려운 사람+3. 임산부로서 대중교통수단의 이용이 어려운 사람+4. 일시적으로 휠체어를 이용하는 사람으로서 대중교통수단의 이용이 어려운 사람+5. 제1호부터 제4호까지에 해당하는 교통약자를 동반하는 가족 및 보호자,"2,500원~20,700원",산청콜택시(합),055-973-2531,2021.10.8,5450000,경상남도 산청군
고흥군교통약자이동지원센터,전라남도 고흥군 고흥읍 신계학림길 39,전라남도 고흥군 고흥읍 남계리 400,34.61379357,127.2879524,5,"리프트1,슬로프4",4,1,1899-1110,http://doumcall.kr,전남광역콜,8:00,19:00,8:00,12:00,8:00,20:00,8:00,13:00,1일전 18:00까지,,고흥군,광주광역시 및 전라남도,"장애정도가 심한 장애인, 65세이상 대중교통이용이 어려운자, 임산부",기본요금 : 500원(2km까지) 이후 km당 100원,고흥군청,061-830-5390,2021.9.24,4880000,전라남도 고흥군
교통약자이동지원센터,경기도 포천시 군내면 청성로 112,경기도 포천시 군내면 하성북리 618번지,37.89623177,127.211078,17,카니발+스타렉스,17,0,031-536-2000,없음,-,13:00,21:00,13:00,18:00,0:00,0:00,0:00,0:00,2일전,예약당일1시간이내취소 3회 시 1주일 이용제한,포천시 전지역,"서울, 경기도, 인천, 철원",장애정도가 심한 장애인(장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애),"기본요금 - 1,250원(10km), 초과요금 - 관내 : 100원/5km 관외 150원/km",포천도시공사,031-540-6000,2021.9.30,5600000,경기도 포천시
강원도 교통약자 광역이동지원센터,강원도 춘천시 봉의동 중앙로1,강원도 춘천시 봉의동 15,37.8855687,127.7301849,30,카니발+스타렉스,25,5,1577-2014,http://call.gwd.go.kr,강원도 광역 교통약자,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,이용 하루전(관외이용시)관외 병원이용시 일주일전부터 예약가능,휠체어 미사용자 이용 불가능,원주시내,강원도 전역+병원+관공서+서울대병원 등,거동이불편한 휠체어이용장애인+65세이상휠체어이용자+일시적 휠체어 이용자,"4km까지 기본 1,100원",원주시시설관리공단교통사업팀,033-749-4811,2021.9.30,4190000,강원도 원주시
경남지체장애인협회합천군지회,경상남도 합천군 합천읍 남정길 79,경상남도 합천군 합천읍 합천리 497-8,35.56841416,128.1569121,7,스타렉스,0,0,1566-4488,http://www.kndaf.or.kr,,0:00,0:00,0:00,0:00,7:00,22:00,7:00,18:00,7,,2000,2000,중증장애1~2급+노인장기요양 1~2급+중복장애자+장애3~6급중 휠체어 이용자+만65세이상노약자(의사소견서첨부)+교통약자를 동반하는 가족 및 보호자(2명이내)+임산부,2000,경제교통과,055-930-3372,2021.10.7,5480000,경상남도 합천군
연천군교통약자이동지원센터,경기도 연천군 전곡읍 전곡로 193,경기도 연천군 전곡읍 은대리 568-2,38.02903092,127.0661019,13,카니발,13,0,031-835-1155,해당없음,해당없음,8:00,17:00,8:00,12:00,0:00,0:00,0:00,0:00,"장애인 사용 2일전, 장애인 외 사용 1일전",□ 아래의 경우 10일 이용제한- 신분증 기타 회원 증명서류 등을 소지하지 않는 경우- 이용자 탑승 후(운행 중) 목적지를 변경하려는 경우- 예약된 시간까지 승차하지 못하여 승차대기를 요청하거나 예약시간 2시간 이내 취소 또는 변경한 경우가 월 3회 이상인 경우(월은 최초 경고 기준부터 다음 경고까지 순차적으로 월 기준이 변경됨)-이용자 본인(보호자 및 동승자 포함)의 과실로 예약시간에 탑승하지 못하여 이동지원 차량이 회차한 경우□ 아래의 경우,연천군 전지역,"경기도, 서월, 인천, 강원도 철원","「장애인복지법 시행규칙」제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스·지하철 등의 이용이 어려운 사람, 만65세 이상 고령자 중 대중교통 서비스의 이용이 어렵거나 기타 거동이 불편한 사람, 혼자서 외출이 곤란하여 군수가 특별교통수단이 필요하다고 인정하는 사람(임산부, 영유아(만7세미만 또는 미취학) 1인 동반, 어린이(만13세미만 또는 초등학생) 2인 동반, 만80세 이상의 고령자, 교통약자를 동반하는 가족 및 보호자","1,000원(기본)+10KM  초과시 KM당 100원 추가(관외 이용시 KM당 200원 추가)",연천군시설관리공단,031-834-9580,2021.11.8,4140000,경기도 연천군
구례군 교통약자 이동지원센터,전라남도 구례군 구례읍 서시천로 106 (사)전남지체장애인협회 구례군지회 1층,전라남도 구례군 구례읍 봉북리 1423-1 (사)전남지체장애인협회 구례군지회 1층,35.2166161,127.4668741,3,카니발(중형승합),3,0,1899-1110,www.jnwf.kr,전남광역콜 앱,8:00,23:00,9:00,18:00,8:00,18:00,9:00,18:00,하루전 18시,장애인콜택시 이용등록후 이용,구례군 전역,"전라남도,광주,남원,하동",장애정도 심한 장애인+65세이상 대중교통이용이 어려운자+임산부+일시적휠체어 이용자,2Km까지기본500원+초과1Km당100원추가,전라남도 구례군청 환경교통과,061-780-2483,2021.10.31,4870000,전라남도 구례군
